ID,NAME,LAT,LONG,ELEVATION
1,1,39.3169,-85.3742,313
2,2,39.2469,-85.4031,287
3,3,39.2354,-85.3761,295
4,4,39.1851,-85.4591,258
5,5,39.1834,-85.4118,272
6,6,39.186,-85.3643,286
7,7,39.1294,-85.4704,249
8,8,39.1331,-85.4115,267
9,9,39.129,-85.3628,276
10,10,39.1295,-85.3169,290
11,11,39.0842,-85.5172,242
12,12,39.0791,-85.4686,248
13,13,39.0796,-85.4198,262
14,14,39.0822,-85.3653,276
15,15,39.0285,-85.6215,225
16,16,39.0312,-85.567,225
17,17,39.0261,-85.5184,242
18,18,39.023,-85.4526,249
19,19,39.027,-85.4196,263
20,20,38.9816,-85.6224,217
21,21,38.9764,-85.5624,244
22,22,38.9713,-85.511,247
23,23,39,-85.8333,185
24,24,39,-85.7917,179
25,25,39,-85.75,190
26,26,39,-85.7083,199
27,27,39,-85.6667,214
28,28,38.958,-85.875,184
29,29,38.958,-85.8333,180
30,30,38.958,-85.7917,177
31,31,38.958,-85.75,190
32,32,38.958,-85.7083,192
33,33,38.958,-85.6667,193
34,34,38.958,-85.625,206
35,35,38.958,-85.5833,228
36,36,38.917,-85.875,182
37,37,38.917,-85.8333,176
38,38,38.917,-85.7917,180
39,39,38.917,-85.75,178
40,40,38.917,-85.7083,192
41,41,38.917,-85.6667,211
42,42,38.875,-85.875,177
43,43,38.875,-85.8333,174
44,44,38.875,-85.7917,179
45,45,38.875,-85.75,182
46,46,38.875,-85.7083,193
47,47,38.833,-85.875,168
48,48,38.833,-85.8333,175
49,49,38.792,-85.875,168
50,50,38.792,-85.8333,177
